,Incident Number w/year,Watch,Type of Incident,incident_type,Type  Location,Division,Council District,Year of Incident,Month1 of Occurence,Day1 of the Week,NIBRS Crime Category,severity,NIBRS Crime Against,Zip Code,x,y
3354,065850-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78102,-96.69637
3355,060340-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (Park),SOUTHEAST,7,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75215,32.77442,-96.76773
3356,073084-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,SOUTHEAST,8,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71148,-96.68232
3357,060119-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,8,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.70706,-96.68397
3358,021318-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75067,-96.66829
3359,027707-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,5,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.74802,-96.68109
3360,030375-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75215,32.75841,-96.77085
3361,024802-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,8,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.68655,-96.65365
3362,017454-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.76869,-96.70205
3363,008658-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75248,-96.66634
3364,013014-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,5,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71838,-96.68219
3365,012836-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Convenience Store,SOUTHEAST,8,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71148,-96.68232
3366,008837-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,8,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75253,32.67675,-96.60203
3368,042988-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75572,-96.65473
3369,047221-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75139,-96.64242
3370,050981-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,7,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78375,-96.72209
3371,073869-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,2,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.694941993,-96.641620964
3372,071145-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Commercial Property Occupied/Vacant,SOUTHEAST,5,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72855,-96.68255
3373,066810-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,5,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72327,-96.69992
3374,062450-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,8,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.67369,-96.5978
3375,023392-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,February,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72809,-96.64595
3376,015198-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.70187,-96.63945
3377,006826-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71375,-96.65011
3378,002448-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,5,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.73419,-96.68209
3379,012016-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75210,32.76692,-96.74831
3380,049125-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71452,-96.68202
3381,053223-2023,1,ROBBERY OF INDIVIDUAL,ROBBERY,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,March,Thu,ROBBERY,4,PROPERTY,75217,32.73173,-96.65002
3382,049616-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,SOUTHEAST,7,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.79419,-96.69482
3383,054973-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75215,32.740418009,-96.75260499
3384,043146-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78335,-96.68857
3385,063709-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,8,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.69787,-96.64631
3386,066180-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,8,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71668,-96.71054
3387,057433-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Other,SOUTHEAST,8,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71684,-96.71163
3388,056719-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,8,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.67133,-96.64812
3389,003936-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,7,2023,December,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75215,32.7462,-96.76221
3390,022472-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,February,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.70728,-96.65178
3391,015302-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),SOUTHEAST,7,2023,February,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.74971,-96.66446
3392,006344-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,January,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75965,-96.67281
3393,048167-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,January,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.73553,-96.69636
3394,018168-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,January,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75316,-96.65789
3395,018448-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,January,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75215,32.73648,-96.7546
3396,015870-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,9,2023,January,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.79344,-96.72468
3397,052283-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72901,-96.6529
3398,052231-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,5,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.74058,-96.6823
3399,048243-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72222,-96.64382
3400,044124-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78204,-96.71158
3401,044748-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,March,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.75759,-96.64549
3402,063199-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,7,2023,April,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78315,-96.69642
3403,026250-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,SOUTHEAST,5,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71922,-96.68262
3404,031698-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.74162,-96.65635
3405,022237-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,5,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.72443,-96.64379
3406,022427-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78879,-96.69294
3407,032021-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.79042,-96.69435
3408,015303-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,7,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78106,-96.71872
3409,026438-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,8,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75253,32.68206,-96.59388
3410,022875-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Business Office,SOUTHEAST,9,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.79344,-96.72468
3411,031631-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,9,2023,February,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.79344,-96.72468
3412,007040-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,7,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.77903,-96.67879
3413,002586-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHEAST,8,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75217,32.71542,-96.71393
3414,015906-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,9,2023,January,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75228,32.79344,-96.72468
3415,035727-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,5,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.76184,-96.68735
3416,063742-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHEAST,7,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75210,32.77128,-96.74587
3417,048204-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHEAST,7,2023,March,Wed,MOTOR VEHICLE THEFT,10,PROPERTY,75227,32.78628,-96.68808
3418,068698-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,3,2023,April,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.7059,-96.8674
3419,067496-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,April,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.768499983,-96.893256007
3420,064426-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,August,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75236,32.66796,-96.88911
3421,002715-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,6,2023,December,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.78466,-96.89885
3422,019209-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75203,32.75419,-96.80895
3423,024658-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.71854,-96.85981
3424,027640-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,6,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.734,-96.9239
3425,030008-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,6,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.78597,-96.85829
3426,019857-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.7579,-96.90423
3427,024665-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,February,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.77293,-96.91525
3428,016646-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.74637,-96.82831
3429,012502-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.74602,-96.82649
3430,007589-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.72357,-96.8714
3431,007389-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.78114,-96.8369
3432,009216-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,January,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.7376,-96.92033
3433,050290-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75203,32.75168,-96.81418
3434,055302-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.75026,-96.83956
3435,047042-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.74509,-96.82965
3436,047018-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75237,32.69032,-96.86296
3437,037572-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,3,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75249,32.65359,-96.97231
3438,041189-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,4,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.69247,-96.85369
3439,045951-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,4,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.71203,-96.83674
3440,049074-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Business Office,SOUTHWEST,6,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.77843,-96.85606
3441,056642-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75208,32.77273,-96.84108
3442,045268-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,March,Fri,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.770815,-96.896298
3443,056999-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,April,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.73471,-96.92345
3444,056672-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),SOUTHWEST,6,2023,April,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.770815,-96.896298
3445,021207-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,1,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.74974,-96.87106
3446,025767-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,3,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75232,32.68696,-96.85095
3447,025485-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,3,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70765,-96.90449
3448,030103-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,3,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.70623,-96.87557
3449,030159-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,4,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.71131,-96.83311
3450,021619-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,4,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75224,32.71622,-96.83169
3451,030921-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",SOUTHWEST,6,2023,February,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75212,32.79273,-96.869
3452,009158-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,3,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75233,32.70558,-96.86863
3453,001824-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,SOUTHWEST,3,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75236,32.68557,-96.91432
3454,042803-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),SOUTHWEST,3,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75211,32.70577,-96.91309
